ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team2.33,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@υ[1],υ,"",upsilon
urn:cite:openpal:team2.34,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@π[1],π,"",pi
urn:cite:openpal:team2.35,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@η[1],η,"",eta
urn:cite:openpal:team2.36,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@σ[1],σ,"",sigma
urn:cite:openpal:team2.37,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@ε[1],ε,"",epsilon
urn:cite:openpal:team2.38,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@ν[1],ν,"",nu
urn:cite:openpal:team2.39,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@δ[2],δ,"",delta
urn:cite:openpal:team2.40,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@ε[2],ε,"",epsilon
urn:cite:openpal:team2.41,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@ν[1],ν,"",nu
urn:cite:openpal:team2.42,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@π[2],π,"",pi
urn:cite:openpal:team2.43,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@εσ[1],εσ,"",epsilon-sigma ligature
urn:cite:openpal:team2.44,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@ω[1],ω,"",omega
urn:cite:openpal:team2.45,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@ων[2],ν,"",nu
urn:cite:openpal:team2.46,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@α[1],α,"",alpha
urn:cite:openpal:team2.47,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@ρ[1],ρ,"",rho
urn:cite:openpal:team2.48,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@α[2],α,"",alpha
urn:cite:openpal:team2.49,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@β[1],β,"",beta
urn:cite:openpal:team2.50,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@η[2],η,"",eta
urn:cite:openpal:team2.51,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@σ[3],σ,"",sigma
urn:cite:openpal:team2.52,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@ε[4],ε,"",epsilon
urn:cite:openpal:team2.53,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@δ[3],δ,"",delta
urn:cite:openpal:team2.54,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@ε[5],ε,"",epsilon
urn:cite:openpal:team2.55,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@τ[1],τ,"",tau
urn:cite:openpal:team2.56,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@ευ[1],ευ,"",epsilon-upsilon ligature
urn:cite:openpal:team2.57,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@χ[1],χ,"",chi
urn:cite:openpal:team2.58,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@ε[7],ε,"",epsilon
urn:cite:openpal:team2.59,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@ε[8],ε,"",epsilon
urn:cite:openpal:team2.60,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@π[3],ε,"",pi
urn:cite:openpal:team2.61,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@α[3],α,"",alpha
urn:cite:openpal:team2.62,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@υ[3],υ,"",upsilon
urn:cite:openpal:team2.63,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@τ[2],τ,"",tau
urn:cite:openpal:team2.64,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@ω[2],ω,"",omega
urn:cite:openpal:team2.65,urn:cts:greekLit:tlg0012.tlg001.msA:5.539@ι[1],ι,"",iota


