ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team6.1,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@τ[1],τ,"urn:cite:hmt:e3img.E3-018r@0.1723,0.4793,0.014,0.0128",tau
urn:cite:openpal:team6.2,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ι[1],ι,"urn:cite:hmt:e3img.E3-018r@0.1814,0.4793,0.012,0.0105",iota
urn:cite:openpal:team6.3,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@μ[1],μ,"urn:cite:hmt:e3img.E3-018r@0.1814,0.4793,0.012,0.0105",mu
urn:cite:openpal:team6.4,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@η[1],η,"urn:cite:hmt:e3img.E3-018r@0.2014,0.4786,0.012,0.012",eta
urn:cite:openpal:team6.5,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@σ[1],σ,"urn:cite:hmt:e3img.E3-018r@0.2124,0.4816,0.012,0.0083",sigma
urn:cite:openpal:team6.6,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@η[2],η,"urn:cite:hmt:e3img.E3-018r@0.2224,0.4771,0.014,0.0143",eta
urn:cite:openpal:team6.7,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ι[2],ι,"urn:cite:hmt:e3img.E3-018r@0.2345,0.4816,0.007,0.0083",iota
urn:cite:openpal:team6.8,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ο[1],ο,"urn:cite:hmt:e3img.E3-018r@0.2465,0.4823,0.012,0.009",omicron
urn:cite:openpal:team6.9,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@λ[1],λ,"urn:cite:hmt:e3img.E3-018r@0.2585,0.4801,0.017,0.0135",lambda
urn:cite:openpal:team6.10,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ε[1],εσ,"urn:cite:hmt:e3img.E3-018r@0.2725,0.4793,0.018,0.0113",epsilon-sigma ligature
urn:cite:openpal:team6.12,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@η[3],η,"urn:cite:hmt:e3img.E3-018r@0.2886,0.4771,0.015,0.015",eta
urn:cite:openpal:team6.13,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ι[3],ι,"urn:cite:hmt:e3img.E3-018r@0.3026,0.4816,0.008,0.0098",iota
urn:cite:openpal:team6.14,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@π[1],π,"urn:cite:hmt:e3img.E3-018r@0.3307,0.4831,0.018,0.009",pi
urn:cite:openpal:team6.15,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ο[2],ο,"urn:cite:hmt:e3img.E3-018r@0.3307,0.4831,0.018,0.009",omicron
urn:cite:openpal:team6.16,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@λ[2],λ,"urn:cite:hmt:e3img.E3-018r@0.3527,0.4816,0.011,0.0135",lambda
urn:cite:openpal:team6.17,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ε[2],ε,"urn:cite:hmt:e3img.E3-018r@0.3617,0.4808,0.011,0.0105",epsilon
urn:cite:openpal:team6.18,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@α[1],α,"urn:cite:hmt:e3img.E3-018r@0.3687,0.4838,0.013,0.0068",alpha
urn:cite:openpal:team6.19,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@σ[3],σ,"urn:cite:hmt:e3img.E3-018r@0.3818,0.4838,0.013,0.0075",sigma
urn:cite:openpal:team6.20,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ε[3],ε,"urn:cite:hmt:e3img.E3-018r@0.3938,0.4793,0.014,0.015",epsilon
urn:cite:openpal:team6.21,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@π[2],π,"urn:cite:hmt:e3img.E3-018r@0.4018,0.4838,0.015,0.0105",pi
urn:cite:openpal:team6.22,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ι[4],ι,"urn:cite:hmt:e3img.E3-018r@0.4148,0.4823,0.008,0.0098",iota
urn:cite:openpal:team6.23,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ν[1],ν,"urn:cite:hmt:e3img.E3-018r@0.4218,0.4831,0.009,0.0105",nu
urn:cite:openpal:team6.24,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@η[4],η,"urn:cite:hmt:e3img.E3-018r@0.4279,0.4771,0.017,0.0173",eta
urn:cite:openpal:team6.25,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@υ[1],υ,"urn:cite:hmt:e3img.E3-018r@0.4339,0.4838,0.015,0.0128",upsilon
urn:cite:openpal:team6.26,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@σ[4],σ,"urn:cite:hmt:e3img.E3-018r@0.4469,0.4838,0.012,0.0135",sigma
urn:cite:openpal:team6.27,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ι[5],ι,"urn:cite:hmt:e3img.E3-018r@0.4539,0.4771,0.011,0.0188",iota
urn:cite:openpal:team6.28,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ν[2],ν,"urn:cite:hmt:e3img.E3-018r@0.4619,0.4801,0.012,0.0188",nu
urn:cite:openpal:team6.29,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@α[2],αχ,"urn:cite:hmt:e3img.E3-018r@0.4739,0.4801,0.019,0.0188",alpha-chi ligature
urn:cite:openpal:team6.31,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@α[3],α,"urn:cite:hmt:e3img.E3-018r@0.486,0.4808,0.013,0.0173",alpha
urn:cite:openpal:team6.32,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ι[6],ι,"urn:cite:hmt:e3img.E3-018r@0.497,0.4823,0.012,0.0158",iota
urn:cite:openpal:team6.33,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ω[1],ω,"urn:cite:hmt:e3img.E3-018r@0.507,0.4846,0.016,0.009",omega
urn:cite:openpal:team6.34,urn:cts:greekLit:tlg0012.tlg001.e3:2.4@ν[3],ν,"urn:cite:hmt:e3img.E3-018r@0.523,0.4831,0.014,0.0128",nu
