ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:3.1,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@τ[1],τ,"urn:cite:ecod:codbod85.cb-0085_010v@0.6186,0.7513,0.019,0.014",tau
urn:cite:openpal:3.2,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@ι[1],ι,"urn:cite:ecod:codbod85.cb-0085_010v@0.6338,0.7513,0.0097,0.014",iota
urn:cite:openpal:3.3,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@μ[1],μ,"urn:cite:ecod:codbod85.cb-0085_010v@0.6427,0.7513,0.019,0.014",mu
urn:cite:openpal:3.4,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@η[1],η,"urn:cite:ecod:codbod85.cb-0085_010v@0.6588,0.7513,0.0114,0.014",eta
urn:cite:openpal:3.5,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@σ[1],σ,"urn:cite:ecod:codbod85.cb-0085_010v@0.6683,0.7521,0.0117,0.0105",sigma
urn:cite:openpal:3.6,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@η[2],η,"urn:cite:ecod:codbod85.cb-0085_010v@0.6778,0.7513,0.0097,0.0124",eta
urn:cite:openpal:3.7,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@ο[1],ο,"urn:cite:ecod:codbod85.cb-0085_010v@0.6934,0.7513,0.0122,0.0111",omicron
urn:cite:openpal:3.8,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@λ[1],λ,"urn:cite:ecod:codbod85.cb-0085_010v@0.7031,0.7513,0.0228,0.013",lambda
urn:cite:openpal:3.9,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@ε[1],ε,"urn:cite:ecod:codbod85.cb-0085_010v@0.7196,0.7513,0.0093,0.0105",epsilon
urn:cite:openpal:3.10,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@σ[2],σ,"urn:cite:ecod:codbod85.cb-0085_010v@0.7196,0.7513,0.0093,0.0105",sigma
urn:cite:openpal:3.11,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@η[3],η,"urn:cite:ecod:codbod85.cb-0085_010v@0.7386,0.7513,0.0118,0.0105",eta
urn:cite:openpal:3.12,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@δ[1],δ,"urn:cite:ecod:codbod85.cb-0085_010v@0.7445,0.7462,0.019,0.0155",delta
urn:cite:openpal:3.13,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@ε[2],ε,"urn:cite:ecod:codbod85.cb-0085_010v@0.7597,0.7513,0.0127,0.0102",epsilon
urn:cite:openpal:3.14,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@π[1],π,"urn:cite:ecod:codbod85.cb-0085_010v@0.769,0.7513,0.0215,0.0102",pi
urn:cite:openpal:3.15,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@ο[2],ο,"urn:cite:ecod:codbod85.cb-0085_010v@0.7871,0.7513,0.0106,0.0102",omicron
urn:cite:openpal:3.16,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@λ[2],λ,"urn:cite:ecod:codbod85.cb-0085_010v@0.7922,0.7497,0.0274,0.0127",lambda
urn:cite:openpal:3.17,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@ε[3],ε,"urn:cite:ecod:codbod85.cb-0085_010v@0.8087,0.7497,0.011,0.0114",epsilon
urn:cite:openpal:3.18,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@α[1],α,"urn:cite:ecod:codbod85.cb-0085_010v@0.8171,0.7497,0.0144,0.0114",alpha
urn:cite:openpal:3.19,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@σ[3],σ,"urn:cite:ecod:codbod85.cb-0085_010v@0.8285,0.7497,0.0118,0.0098",sigma
urn:cite:openpal:3.20,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@επ[1],επ,"urn:cite:ecod:codbod85.cb-0085_010v@0.8374,0.743,0.0334,0.0171",epsilon-pi ligature
urn:cite:openpal:3.21,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@ι[2],ι,"urn:cite:ecod:codbod85.cb-0085_010v@0.8669,0.7491,0.0097,0.0111",iota
urn:cite:openpal:3.22,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@ν[1],ν,"urn:cite:ecod:codbod85.cb-0085_010v@0.8741,0.7491,0.0093,0.0111",nu
urn:cite:openpal:3.23,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@η[4],η,"urn:cite:ecod:codbod85.cb-0085_010v@0.8834,0.7491,0.0089,0.0111",eta
urn:cite:openpal:3.24,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@υ[1],υ,"urn:cite:ecod:codbod85.cb-0085_010v@0.8927,0.7491,0.0097,0.0111",upsilon
urn:cite:openpal:3.25,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@σ[4],σ,"urn:cite:ecod:codbod85.cb-0085_010v@0.9003,0.7491,0.0135,0.0111",sigma
urn:cite:openpal:3.26,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@ι[3],ι,"urn:cite:ecod:codbod85.cb-0085_010v@0.9108,0.7491,0.0084,0.0098",iota
urn:cite:openpal:3.27,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@ν[2],ν,"urn:cite:ecod:codbod85.cb-0085_010v@0.9176,0.7491,0.0097,0.0098",nu
urn:cite:openpal:3.28,urn:cts:greekLit:tlg0012.tlg001.bod85:2.4@αχ[1],αχ,"urn:cite:ecod:codbod85.cb-0085_010v@0.9265,0.7469,0.0236,0.0209",alpha-chi ligature
