ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team3.84,[TextUrn]@κ[10],κ,"urn:cite:ecod:codbod8.cb-0008_015v@0.853,0.5876,0.0213,0.0132",kappa
urn:cite:openpal:team3.85,[TextUrn]@τ[7],τ,"urn:cite:ecod:codbod8.cb-0008_015v@0.8718,0.5876,0.0151,0.0132",tau
urn:cite:openpal:team3.86,[TextUrn]@ο[15],ο,"urn:cite:ecod:codbod8.cb-0008_015v@0.8843,0.5876,0.0088,0.0132",omicron
urn:cite:openpal:team3.87,[TextUrn]@υ[10],υ,"urn:cite:ecod:codbod8.cb-0008_015v@0.8919,0.5876,0.0125,0.0142",upsilon
urn:cite:openpal:team3.88,[TextUrn]@κεν[2],κεν,"urn:cite:ecod:codbod8.cb-0008_015v@0.3839,0.6009,0.0452,0.0217",kappa-epsilon-nu ligature
urn:cite:openpal:team3.89,[TextUrn]@τ[8],τ,"urn:cite:ecod:codbod8.cb-0008_015v@0.4278,0.6065,0.0138,0.0161",tau
urn:cite:openpal:team3.90,[TextUrn]@ρ[2],ρ,"urn:cite:ecod:codbod8.cb-0008_015v@0.4366,0.6065,0.0125,0.018",rho
urn:cite:openpal:team3.91,[TextUrn]@ο[16],ο,"urn:cite:ecod:codbod8.cb-0008_015v@0.4466,0.6065,0.0125,0.0123",omicron
urn:cite:openpal:team3.92,[TextUrn]@υ[11],υ,"urn:cite:ecod:codbod8.cb-0008_015v@0.4554,0.6075,0.0151,0.0113",upsilon
urn:cite:openpal:team3.93,[TextUrn]@ε[5],ε,"urn:cite:ecod:codbod8.cb-0008_015v@0.4818,0.6084,0.0151,0.0142",epsilon
urn:cite:openpal:team3.94,[TextUrn]@στ[1],στ,"urn:cite:ecod:codbod8.cb-0008_015v@0.4955,0.6056,0.0151,0.017",sigma-tau ligature
urn:cite:openpal:team3.95,[TextUrn]@ω[2],ω,"urn:cite:ecod:codbod8.cb-0008_015v@0.5081,0.6056,0.0163,0.017",omega
urn:cite:openpal:team3.96,[TextUrn]@η[4],η,"urn:cite:ecod:codbod8.cb-0008_015v@0.5269,0.6075,0.0151,0.0151",eta
urn:cite:openpal:team3.97,[TextUrn]@γ[1],γ,"urn:cite:ecod:codbod8.cb-0008_015v@0.542,0.6047,0.0213,0.0189",label gamma
urn:cite:openpal:team3.98,[TextUrn]@τ[9],τ,"urn:cite:ecod:codbod8.cb-0008_015v@0.5946,0.6113,0.0213,0.0104",tau
urn:cite:openpal:team3.99,[TextUrn]@η[5],η,"urn:cite:ecod:codbod8.cb-0008_015v@0.6122,0.6113,0.0138,0.0104",eta
urn:cite:openpal:team3.100,[TextUrn]@δ[2],δ,"urn:cite:ecod:codbod8.cb-0008_015v@0.6222,0.6018,0.0226,0.0189",delta
urn:cite:openpal:team3.101,[TextUrn]@ε[6],ε,"urn:cite:ecod:codbod8.cb-0008_015v@0.6435,0.6103,0.0125,0.0104",epsilon
urn:cite:openpal:team3.102,[TextUrn]@π[1],π,"urn:cite:ecod:codbod8.cb-0008_015v@0.6573,0.6084,0.0288,0.0123",pi
urn:cite:openpal:team3.103,[TextUrn]@λ[4],λ,"urn:cite:ecod:codbod8.cb-0008_015v@0.6812,0.6084,0.0188,0.0132",lambda
urn:cite:openpal:team3.104,[TextUrn]@ευρ[1],ευρ,"urn:cite:ecod:codbod8.cb-0008_015v@0.6962,0.6037,0.0276,0.0189",epsilon-upsilon-rho ligature
urn:cite:openpal:team3.105,[TextUrn]@α[4],α,"urn:cite:ecod:codbod8.cb-0008_015v@0.7213,0.6084,0.0238,0.0104",alpha
