ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team5.1,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@τ[1],τ,"urn:cite:hmt:vbimg.VB019RN-0463@0.1371,0.5237,0.018,0.0158",tau
urn:cite:openpal:team5.2,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@ι[1],ι,"urn:cite:hmt:vbimg.VB019RN-0463@0.1502,0.5237,0.012,0.015",iota
urn:cite:openpal:team5.3,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@μ[1],μ,"urn:cite:hmt:vbimg.VB019RN-0463@0.1602,0.5267,0.014,0.012",mu
urn:cite:openpal:team5.4,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@η[1],η,"urn:cite:hmt:vbimg.VB019RN-0463@0.1712,0.5222,0.017,0.0135",eta
urn:cite:openpal:team5.5,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@σ[1],σ,"urn:cite:hmt:vbimg.VB019RN-0463@0.1842,0.5222,0.016,0.0135",sigma
urn:cite:openpal:team5.6,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@η[2],η,"urn:cite:hmt:vbimg.VB019RN-0463@0.1962,0.5222,0.016,0.0135",eta
urn:cite:openpal:team5.7,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@ο[1],ο,"urn:cite:hmt:vbimg.VB019RN-0463@0.2222,0.5199,0.01,0.0173",omicron
urn:cite:openpal:team5.8,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@λ[1],λ,"urn:cite:hmt:vbimg.VB019RN-0463@0.2322,0.5237,0.018,0.0135",lambda
urn:cite:openpal:team5.9,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@ε[1],εσ,"urn:cite:hmt:vbimg.VB019RN-0463@0.2472,0.5199,0.02,0.0173",epsilon-sigma ligature
urn:cite:openpal:team5.10,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@η[3],η,"urn:cite:hmt:vbimg.VB019RN-0463@0.2643,0.5199,0.017,0.0173",eta
urn:cite:openpal:team5.11,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@δ[1],δ,"urn:cite:hmt:vbimg.VB019RN-0463@0.2863,0.5199,0.018,0.0173",delta
urn:cite:openpal:team5.12,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@ε[2],ε,"urn:cite:hmt:vbimg.VB019RN-0463@0.3003,0.5199,0.02,0.0173",epsilon
urn:cite:openpal:team5.13,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@π[1],π,"urn:cite:hmt:vbimg.VB019RN-0463@0.3193,0.5237,0.021,0.0135",pi
urn:cite:openpal:team5.14,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@ο[2],ο,"urn:cite:hmt:vbimg.VB019RN-0463@0.3363,0.5252,0.013,0.0098",omicron
urn:cite:openpal:team5.15,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@λ[2],λ,"urn:cite:hmt:vbimg.VB019RN-0463@0.3463,0.5244,0.019,0.0105",lambda
urn:cite:openpal:team5.16,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@ε[3],ε,"urn:cite:hmt:vbimg.VB019RN-0463@0.3604,0.5207,0.014,0.0143",epsilon
urn:cite:openpal:team5.17,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@α[1],α,"urn:cite:hmt:vbimg.VB019RN-0463@0.3724,0.5207,0.015,0.0143",alpha
urn:cite:openpal:team5.18,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@σ[3],σ,"urn:cite:hmt:vbimg.VB019RN-0463@0.3844,0.5207,0.016,0.0143",sigma
urn:cite:openpal:team5.19,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@ε[4],ε,"urn:cite:hmt:vbimg.VB019RN-0463@0.4004,0.5177,0.015,0.0173",epsilon
urn:cite:openpal:team5.20,urn:cts:greekLit:tlg0012.tlg001.msB:2.4@π[2],π,"urn:cite:hmt:vbimg.VB019RN-0463@0.4104,0.5229,0.016,0.012",pi
