ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team3.1,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@α[1],α,"urn:cite:hmt:blpd.kings16-f2@0.1612,0.0927,0.0571,0.047",alpha
urn:cite:openpal:team3.2,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@λ[1],λ,"urn:cite:hmt:blpd.kings16-f2@0.1992,0.1095,0.029,0.0222",lambda
urn:cite:openpal:team3.3,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@φ[1],φ,"urn:cite:hmt:blpd.kings16-f2@0.2212,0.1128,0.024,0.0208",phi
urn:cite:openpal:team3.4,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@α[2],α,"urn:cite:hmt:blpd.kings16-f2@0.2332,0.1061,0.031,0.0215",alpha
urn:cite:openpal:team3.5,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@λ[2],λ,"urn:cite:hmt:blpd.kings16-f2@0.2583,0.1088,0.019,0.0195",lambda
urn:cite:openpal:team3.6,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@ι[1],ι,"urn:cite:hmt:blpd.kings16-f2@0.2733,0.1148,0.012,0.0134",iota
urn:cite:openpal:team3.7,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@τ[1],τ,"urn:cite:hmt:blpd.kings16-f2@0.2833,0.1155,0.016,0.0128",tau
urn:cite:openpal:team3.8,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@α[3],α,"urn:cite:hmt:blpd.kings16-f2@0.2953,0.1155,0.018,0.0128",alpha
urn:cite:openpal:team3.9,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@σ[1],σ,"urn:cite:hmt:blpd.kings16-f2@0.3093,0.1155,0.011,0.0128",sigma
urn:cite:openpal:team3.10,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@χ[1],χ,"urn:cite:hmt:blpd.kings16-f2@0.3183,0.1142,0.026,0.0222",chi
urn:cite:openpal:team3.11,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@ρ[1],ρ,"urn:cite:hmt:blpd.kings16-f2@0.3393,0.1142,0.017,0.0208",rho
urn:cite:openpal:team3.12,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@υ[1],υ,"urn:cite:hmt:blpd.kings16-f2@0.3534,0.1142,0.021,0.0141",upsilon
urn:cite:openpal:team3.13,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@σ[2],σ,"urn:cite:hmt:blpd.kings16-f2@0.3644,0.1142,0.016,0.0141",sigma
urn:cite:openpal:team3.14,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@ο[1],ο,"urn:cite:hmt:blpd.kings16-f2@0.3774,0.1148,0.011,0.0128",omicron
urn:cite:openpal:team3.15,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@υ[2],υ,"urn:cite:hmt:blpd.kings16-f2@0.3864,0.1148,0.015,0.0128",upsilon
urn:cite:openpal:team3.16,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@λ[3],λ,"urn:cite:hmt:blpd.kings16-f2@0.4084,0.1115,0.02,0.0188",lambda
urn:cite:openpal:team3.17,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@ο[2],ο,"urn:cite:hmt:blpd.kings16-f2@0.4264,0.1142,0.014,0.0161",omicron
urn:cite:openpal:team3.18,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@ι[2],ι,"urn:cite:hmt:blpd.kings16-f2@0.4374,0.1142,0.011,0.0161",iota
urn:cite:openpal:team3.19,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@μ[1],μ,"urn:cite:hmt:blpd.kings16-f2@0.4464,0.1142,0.022,0.0161",mu
urn:cite:openpal:team3.20,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@ο[3],ο,"urn:cite:hmt:blpd.kings16-f2@0.4655,0.1142,0.013,0.0161",omicron
urn:cite:openpal:team3.21,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@ν[1],ν,"urn:cite:hmt:blpd.kings16-f2@0.4765,0.1142,0.012,0.0161",nu
urn:cite:openpal:team3.22,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@στ[1],στ,"urn:cite:hmt:blpd.kings16-f2@0.4875,0.1142,0.017,0.0181",sigma-tau ligature
urn:cite:openpal:team3.23,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@ρ[2],ρ,"urn:cite:hmt:blpd.kings16-f2@0.5015,0.1142,0.015,0.0201",rho
urn:cite:openpal:team3.24,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@α[4],α,"urn:cite:hmt:blpd.kings16-f2@0.4935,0.1061,0.035,0.0228",alpha
urn:cite:openpal:team3.25,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@τ[1],τ,"urn:cite:hmt:blpd.kings16-f2@0.5115,0.1021,0.029,0.0282",tau
urn:cite:openpal:team3.26,urn:cts:greekLit:tlg0012.tlg001.hc:kings16.1.header@ο[4],ο,"urn:cite:hmt:blpd.kings16-f2@0.5305,0.1175,0.013,0.0107",omicron
