ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team3.1,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@α[1],α,"urn:cite:hmt:blpd.harley5600-f16@0.1421,0.3331,0.022,0.027",alpha
urn:cite:openpal:team3.2,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@λ[1],λ,"urn:cite:hmt:blpd.harley5600-f16@0.1592,0.3331,0.022,0.027",labmda
urn:cite:openpal:team3.3,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@φ[1],φ,"urn:cite:hmt:blpd.harley5600-f16@0.1782,0.3331,0.023,0.027",phi
urn:cite:openpal:team3.4,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@α[2],α,"urn:cite:hmt:blpd.harley5600-f16@0.1942,0.3331,0.026,0.027",alpha
urn:cite:openpal:team3.5,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@λ[2],λ,"urn:cite:hmt:blpd.harley5600-f16@0.2152,0.3331,0.022,0.027",lambda
urn:cite:openpal:team3.6,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@ι[1],ι,"urn:cite:hmt:blpd.harley5600-f16@0.2342,0.3331,0.015,0.027",iota
urn:cite:openpal:team3.7,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@τ[1],τ,"urn:cite:hmt:blpd.harley5600-f16@0.2452,0.3331,0.023,0.027",tau
urn:cite:openpal:team3.8,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@α[3],α,"urn:cite:hmt:blpd.harley5600-f16@0.2623,0.3331,0.02,0.027",alpha
urn:cite:openpal:team3.9,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@σ[1],σ,"urn:cite:hmt:blpd.harley5600-f16@0.2803,0.3331,0.017,0.027",sigma
urn:cite:openpal:team3.10,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@χ[1],χ,"urn:cite:hmt:blpd.harley5600-f16@0.2943,0.3331,0.024,0.027",chi
urn:cite:openpal:team3.11,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@ρ[1],ρ,"urn:cite:hmt:blpd.harley5600-f16@0.3153,0.3331,0.026,0.027",rho
urn:cite:openpal:team3.12,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@υ[1],υ,"urn:cite:hmt:blpd.harley5600-f16@0.3363,0.3331,0.019,0.027",upsilon
urn:cite:openpal:team3.13,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@σ[2],σ,"urn:cite:hmt:blpd.harley5600-f16@0.3544,0.3359,0.019,0.0256",sigma
urn:cite:openpal:team3.14,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@ο[1],ο,"urn:cite:hmt:blpd.harley5600-f16@0.3694,0.3359,0.025,0.0256",omicron
urn:cite:openpal:team3.15,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@υ[1],υ,"urn:cite:hmt:blpd.harley5600-f16@0.3894,0.3359,0.02,0.0256",upsilon
urn:cite:openpal:team3.16,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@λ[3],λ,"urn:cite:hmt:blpd.harley5600-f16@0.4064,0.3359,0.02,0.0256",lambda
urn:cite:openpal:team3.17,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@ο[2],ο,"urn:cite:hmt:blpd.harley5600-f16@0.4274,0.3359,0.021,0.0256",omicron
urn:cite:openpal:team3.18,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@ι[2],ι,"urn:cite:hmt:blpd.harley5600-f16@0.4444,0.3359,0.017,0.0256",iota
urn:cite:openpal:team3.19,urn:cts:greekLit:tlg0012.tlg001.hc:harley5600.1.header@μ[1],μ,"urn:cite:hmt:blpd.harley5600-f16@0.4605,0.3359,0.03,0.0256",mu
